Timestamps (secs),zScore,Events
66289.36115,2.2611951327412108,
66289.39446,2.5751646537104804,
66289.42781,1.5823940316635978,
66289.46115,2.5231890879039396,
66289.49446,2.537833669905198,
66289.52781,2.107151966517237,
66289.56112,2.7358803375646845,
66289.59446,3.1829262887297936,
66289.62781,2.7108801687954833,
66289.66112,2.08877478866319,
66289.69446,2.7184199328956766,
66289.72781,2.3040880064502263,
66289.76112,2.048903773399011,
66289.79446,2.826030118636116,
66289.82778,3.3996862600248643,
66289.86112,2.296145240077756,
66289.89446,2.5125128936415515,
66289.92778,2.1462929397927653,
66289.96112,1.7547026829652577,
66289.99443,2.3344123016487752,
66290.02778,2.248367205444803,
66290.06112,1.990865186122042,
66290.09443,2.1623776100674834,
66290.12778,2.844306055242069,
66290.16112,2.0119757918660643,
66290.19443,2.106644169715966,
66290.22778,1.91948420951279,
66290.26112,2.891236380998607,
66290.29443,2.1567573403961,
66290.32778,2.6694040594727735,
66290.36109,2.544247979115002,
66290.39443,2.2377172140105093,
66290.42778,2.1321754591735345,
66290.46109,2.09575239550086,
66290.49443,2.7116957007324,
66290.52778,2.6241805271333543,
66290.56109,2.2763370600155013,
66290.59443,1.9685884518249572,
66290.62778,2.7463642757614224,
66290.66109,3.0443889768655215,
66290.69443,2.228978453294555,
66290.72778,2.699754557499417,
66290.76109,2.6611280462597344,
66290.79443,1.7617579741512186,
66290.82774,2.2786359998167574,
66290.86109,2.180853608339062,
66290.8944,2.1764433761537836,
66290.92774,2.5776891668822848,
66290.96109,2.2719401582994307,
66290.9944,1.8306532797627688,
66291.02774,2.2474304365559234,
66291.06109,2.5460191264111174,
66291.0944,2.4776316176008093,
66291.12774,2.043904040757744,
66291.16106,2.0995948526414954,
66291.1944,2.7092684095023194,
66291.22774,1.9883144701221722,
66291.26106,3.0847611236963677,
66291.2944,2.755583031974774,
66291.32774,2.4245454240678006,
66291.36106,2.395957220284842,
66291.3944,1.996777672642008,
66291.42774,2.2140492270319845,
66291.46106,2.730415669602646,
66291.4944,3.0074647816261804,
66291.52771,1.7216480550472255,
66291.56106,1.6144856878646272,
66291.5944,1.9719480345271976,
66291.62771,1.7908084673266553,
66291.66106,2.457018357129848,
66291.69437,2.0873475727486173,
66291.72771,2.185338878944426,
66291.76106,2.0657358354379567,
66291.79437,2.216203839006944,
66291.82771,2.072715630093453,
66291.86106,2.412072570804374,
66291.89437,2.82644357243669,
66291.92771,2.1283314035571195,
66291.96102,2.19686059426546,
66291.99437,1.5769915297628163,
66292.02771,2.2734957256427997,
66292.06102,2.571412753276936,
66292.09437,1.6592680668808093,
66292.12771,2.11096603301198,
66292.16102,2.017944470335767,
66292.19437,1.9740426682587564,
66292.22768,1.8518327168026225,
66292.26102,2.2085612351828496,
66292.29437,2.0547219169182225,
66292.32768,1.8547340294186674,
66292.36102,1.8600181733084842,
66292.39434,1.7207741433426873,
66292.42768,1.8163397567842239,
66292.46102,2.378355824840944,
66292.49437,1.2184097023213185,
66292.52768,1.6491280600655553,
66292.56102,2.147252341445599,
66292.59434,1.6260891068403218,
66292.62768,1.5570454540961063,
66292.66099,1.7197518845055124,
66292.69434,1.8827172144585735,
66292.72768,1.7681394152982663,
66292.76099,1.8799275946188896,
66292.79434,1.4594502519252366,
66292.82768,1.5323963400534886,
66292.86099,1.688168025105754,
66292.89434,1.656504649869162,
66292.92768,2.2274266722447633,
66292.96099,2.16609066832681,
66292.99434,1.7776765911882655,
66293.02768,1.9857149185302827,
66293.06099,1.8190343425000106,
66293.09434,2.1115359958745072,
66293.12768,1.9973438492108715,
66293.16099,1.8676074641238105,
66293.19434,2.745410848220022,
66293.22765,2.4012091872351604,
66293.26099,2.983950208539174,
66293.2943,1.873382288052084,
66293.32765,2.5547640942512384,
66293.36099,2.4037987454091905,
66293.3943,2.077498642416603,
66293.42765,2.785602470978675,
66293.46099,2.3428950417620436,
66293.4943,1.930314725019334,
66293.52765,2.143384961942117,
66293.56096,2.6133821885663084,
66293.5943,2.4758626581225207,
66293.62765,3.4305534079052094,
66293.66096,1.9754477006516622,
66293.6943,2.6566061212980663,
66293.72765,2.464073648315809,
66293.76096,3.1324836575027257,
66293.7943,2.6039371678592667,
66293.82765,2.407291746299022,
66293.86096,2.7409384499735157,
66293.8943,2.800388734877995,
66293.92762,2.438617855388676,
66293.96096,2.670030214285067,
66293.9943,2.597844157267108,
66294.02762,2.54415961022568,
66294.06096,2.322232254575949,
66294.09427,2.664464305074907,
66294.12762,1.980820213430772,
66294.16096,2.3462679549335497,
66294.19427,2.8278252809425277,
66294.22762,2.5915677436617592,
66294.26096,1.8045236367967805,
66294.29427,2.408228515187959,
66294.32762,1.3302083331702095,
66294.36093,2.5624288815970004,
66294.39427,2.0255959272122634,
66294.42762,1.92419551159911,
66294.46093,2.2292599856021065,
66294.49427,2.563773935746505,
66294.52762,1.660531417375625,
66294.56093,2.4274234127967778,
66294.59427,2.773521244323381,
66294.62762,2.5931321640576166,
66294.66093,2.838193507056507,
66294.69427,2.6563372283366093,
66294.72762,2.550192642574466,
66294.76093,2.552740479633309,
66294.79424,2.4337164850545325,
66294.82758,1.4627886985581782,
66294.86093,2.6736830612882874,
66294.89427,2.3400303835023033,
66294.92758,1.30795711057799,
66294.96093,1.9391673663294757,
66294.99424,2.1227588291123265,
66295.02758,1.1323772454634409,
66295.0609,2.5431799798562422,
66295.09424,2.434328169032218,
66295.12758,1.970869583740199,
66295.1609,2.021286703262344,
66295.19424,2.6417481471619166,
66295.22758,1.6928581911228622,
66295.2609,2.795352347880423,
66295.29424,2.6029837403178946,
66295.32758,2.603677127950211,
66295.3609,2.0575758906369606,
66295.39424,2.3083236886747738,
66295.42758,1.7603200736956433,
66295.4609,2.8090308629942724,
66295.49424,2.8459033437006247,
66295.52755,2.269035966742359,
66295.5609,3.4395477311133837,
66295.59424,2.428320648388355,
66295.62755,2.3761061787420292,
66295.6609,3.087903527970053,
66295.69421,2.988926617293374,
66295.72755,1.8687369383205688,
66295.7609,2.83884138728006,
66295.79421,2.68276196709212,
66295.82755,2.2128830984788928,
66295.8609,2.7144875083899396,
66295.89421,2.5013184510496247,
66295.92755,2.6812656868689517,
66295.96086,2.3814203117535753,
66295.99421,2.4586778116496313,
66296.02755,2.5185825803465844,
66296.06086,3.426330365026727,
66296.09421,2.5914560508854274,
66296.12755,2.3191220272418196,
66296.16086,2.882385927506292,
66296.19421,2.46955785387128,
66296.22755,2.135648922469933,
66296.26086,3.149285039296799,
66296.29421,1.6097443966566354,
66296.32752,2.7569842780740736,
66296.36086,3.033286689456523,
66296.39421,2.586568011020492,
66296.42752,2.539392116189594,
66296.46086,2.3683963420979115,
66296.49418,1.4084536253649333,
66296.52752,2.255661400470578,
66296.56086,1.9420453550584529,
66296.59418,2.2636012879020506,
66296.62752,2.0531101576250586,
66296.66086,1.5667009879970704,
66296.69418,1.7091773896016544,
66296.72752,1.6993324785759807,
66296.76083,2.0416550857820583,
66296.79418,1.3088483720581343,
66296.82752,1.62418006393978,
66296.86083,1.9393740932297627,
66296.89418,2.1715875132283755,
66296.92752,1.7354837703461712,
66296.96083,2.4264999743771356,
66296.99418,1.2733447274987335,
66297.02752,1.0275733382150913,
66297.06083,2.3405898948365627,
66297.09418,1.3205594645038206,
66297.12752,1.4616303756050908,
66297.16083,1.1576629658465911,
66297.19414,1.7052838072700776,
66297.22749,1.2192407525453564,
66297.26083,2.626481196642029,
66297.29414,1.8544973133967089,
66297.32749,1.8881085737079737,
66297.36083,2.6319158754823664,
66297.39414,1.580680573011904,
66297.42749,1.3629349972359341,
66297.4608,2.354883880221704,
66297.49414,1.3310755796400862,
66297.52749,2.2634596060040177,
66297.5608,2.3739815558887987,
66297.59414,2.4797922036872597,
66297.62749,2.135595609461165,
66297.6608,2.780180431484432,
66297.69414,2.612055980887123,
66297.72749,2.015917069424203,
66297.7608,2.539579305496419,
66297.79414,2.406247762050559,
66297.82749,1.5725017817406464,
66297.8608,2.5462513650162406,
66297.89414,2.4281117336702702,
66297.92749,2.437321636831191,
66297.9608,2.242510219751461,
66297.99414,2.1806702053258427,
66298.02746,1.8492431586285638,
66298.0608,2.464676479241006,
66298.09411,1.5536574807480028,
66298.12746,1.7640135943615372,
66298.1608,2.3527466180223215,
66298.19411,2.227495503540595,
66298.22746,1.8403643144903565,
66298.2608,2.5314133865839903,
66298.29411,1.7969665229210392,
66298.32746,1.9620169424300573,
66298.36077,3.042912234235815,
66298.39411,2.529943309188859,
66298.42746,2.374433851863475,
66298.46077,3.281182701593424,
66298.49411,2.335155215996254,
66298.52746,2.751284492565856,
66298.56077,2.530782165012872,
66298.59411,2.600570919922422,
66298.62746,1.9224798651296184,
66298.66077,2.418871841387678,
66298.69411,2.0809099396517743,
66298.72746,2.066665247969061,
66298.76077,2.302692734462417,
66298.79411,2.3246450749714214,
66298.82746,1.8103732661323475,
66298.86077,1.9717346423922777,
66298.89408,2.2182527323170045,
66298.92746,2.2096545131337404,
66298.96077,2.402285348423151,
66298.99408,2.600220323306276,
66299.02746,3.1288523028980593,
66299.06074,3.394922552282384,
66299.09408,2.454545325478269,
66299.12746,2.5661741167958834,
66299.16074,2.132177646991332,
66299.19408,1.9528954081584298,
66299.22746,3.0084854419876046,
66299.26074,2.5380141939774195,
66299.29408,3.0528388489161493,
66299.32746,1.7006542088384176,
66299.36074,2.773148464185539,
66299.39408,2.788058152854677,
66299.42746,2.7601700019386968,
66299.46074,2.3235517970205595,
66299.49408,2.409665724520363,
66299.52746,2.2427062621107745,
66299.56074,1.892637163904275,
66299.59405,2.921324651298311,
66299.62746,2.552347254549426,
66299.66074,2.2200696200346473,
66299.69405,3.0199742892459405,
66299.72746,1.894673417868241,
66299.76074,2.734649164009367,
66299.79405,2.5115206239260486,
66299.82746,2.3896641480270584,
66299.86074,2.825879583685624,
66299.89405,2.362195425023056,
66299.92746,2.29548024309136,
66299.9607,2.3619198668269377,
66299.99405,2.613444354627565,
66300.02746,2.1444393977188474,
66300.0607,2.689748426982249,
66300.09405,1.917294541657305,
66300.12739,1.9921285366168577,
66300.1607,2.0629095612419106,
66300.19405,2.6706973990892893,
66300.22736,1.8204122647121848,
66300.2607,2.4992821970856296,
66300.29405,2.084269522353957,
66300.32736,2.1982811449454003,
66300.3607,2.53111829079441,
66300.39405,2.1069385743823745,
66300.42736,2.1701991394879334,
66300.4607,2.3477073520837513,
66300.49402,2.8487979910820656,
66300.52736,2.525147424506909,
66300.5607,2.13505275677934,
66300.59402,1.7144315443697706,
66300.62736,2.6300930136532914,
66300.6607,1.8914059903489286,
66300.69402,2.471753495838255,
66300.72736,2.3269735457839986,
66300.76067,2.1680123505734463,
66300.79402,2.143027700091309,
66300.82736,2.0596421337226274,
66300.86067,2.0220596067314944,
66300.89402,2.271468324731293,
66300.92736,2.937955960548431,
66300.96067,2.8443644350096617,
66300.99402,2.983304516133477,
66301.02733,2.7541517967538316,
66301.06067,2.6684544182250365,
66301.09402,1.6721115124642518,
66301.12733,2.1307075695962583,
66301.16067,1.9741670003811829,
66301.19398,1.9087713608940973,
66301.22733,2.3452323656270804,
66301.26067,2.925250410569386,
66301.29398,2.0722833298226178,
66301.32733,2.1321126019891063,
66301.36067,2.0288633547315467,
66301.39398,1.1077798459538117,
66301.42733,3.0331983205672586,
66301.46064,2.338484809576765,
66301.49398,2.605161676179893,
66301.52733,2.681861852559516,
66301.56067,2.593377733132035,
66301.59398,2.7077166284525567,
66301.62733,2.532730050087574,
66301.66064,2.1185875007668336,
66301.69398,1.8871596235833792,
66301.7273,1.58362072780208,
66301.76064,2.644010432606897,
66301.79398,2.134775010765395,
66301.82733,2.1707757675850936,
66301.86064,1.806477495982944,
66301.89398,2.623793276160846,
66301.9273,1.9040405212143154,
66301.96064,1.783162984561592,
66301.99395,1.554292488612727,
66302.0273,1.161614927945732,
66302.06064,2.0567408211065823,
66302.09395,2.239068933394647,
66302.1273,1.835214046898597,
66302.16064,2.125365045938849,
66302.19395,1.8433006829869263,
66302.2273,1.7021542753552206,
66302.26064,1.7876032058685998,
66302.29395,1.4962405708664916,
66302.3273,2.021947913955105,
66302.36061,1.5478460024633958,
66302.39395,1.8561741176920694,
66302.4273,2.188648934931504,
66302.46061,2.1597947171280287,
66302.49395,1.9698518023198015,
66302.5273,1.8905775860532412,
66302.56061,1.3366181649631785,
66302.59395,1.9995761455341226,
66302.62726,1.6034184563361247,
66302.66061,1.318493221418125,
66302.69395,2.0683142509605763,
66302.72726,1.4098808412795356,
66302.76061,2.470653319640026,
66302.79395,2.225336414148829,
66302.82726,1.6519820337843225,
66302.86061,1.5617656092348282,
66302.89392,2.1445404059542352,
66302.92726,2.1048228045815462,
66302.96061,1.3482497415719732,
66302.99392,1.7116974253566815,
66303.02726,1.4683284049402439,
66303.06061,2.2963863317353965,
66303.09392,2.0569863901809717,
66303.12726,1.1963845112101132,
66303.16058,1.4680077974457693,
66303.19392,2.01516748984212,
66303.22726,1.202562104397901,
66303.26058,2.272512308979756,
66303.29392,2.7681809084838274,
66303.32726,1.167265186738816,
66303.36058,1.7815812143901286,
66303.39392,2.3843538013091474,
66303.42723,1.724239801039111,
66303.46058,1.6752927589120685,
66303.49392,2.3643522248158426,
66303.52723,2.5216628185591,
66303.56058,2.081518744688404,
66303.59389,2.5027756560858982,
66303.62723,1.614425709621255,
66303.66058,2.0331940710800205,
66303.69392,2.1779884919688848,
66303.72723,2.057909828600672,
66303.76058,1.9742875462100031,
66303.79389,2.102214399937226,
66303.82723,2.6710246718183677,
66303.86054,2.2958463579945696,
66303.89389,2.317959684982334,
66303.92723,1.4369279485537048,
66303.96058,1.3657896620778438,
66303.99389,2.4515168017987423,
66304.02723,1.680983691367855,
66304.06054,1.948792911108768,
66304.09389,3.2295965745771897,
66304.1272,2.6917196359439894,
66304.16054,1.9161672552783735,
66304.19389,2.017210409040748,
66304.2272,1.6505381592172856,
66304.26054,2.529344264557297,
66304.29389,1.9280095780938533,
66304.3272,2.1165512468028385,
66304.36054,1.6948427305538685,
66304.39389,2.8058817934859253,
66304.4272,2.4702017147884634,
66304.46054,1.8142135354551272,
66304.49386,2.116760161520952,
66304.5272,2.6512724506931162,
66304.56054,2.4341709688470643,
66304.59386,1.502228553916922,
66304.6272,2.207749489539597,
66304.66054,2.088440850699508,
66304.69386,2.0657380232557836,
66304.7272,1.8471080842470078,
66304.76051,1.610471559704259,
66304.79386,1.9925830204093893,
66304.8272,1.6099570976683262,
66304.86051,1.9981855839758538,
66304.89386,1.1027412711383842,
66304.9272,1.6444855892750958,
66304.96051,2.338992606378036,
66304.99386,1.3372531728279027,
66305.02717,1.8963928506313965,
66305.06051,1.1545984789339598,
66305.09386,1.3681765126580137,
66305.12717,1.16950816760304,
66305.16051,1.9936286031336605,
