Event names,Event start times (secs),Event end times (secs),Prominences (zScore),Heights (zScore)
Peak,66434.95533,66434.95533,5.033536015247367,3.2527387238556664
Peak,66851.63866,66851.63866,5.1713769460899535,1.0222475162808813
Peak,67247.58947,67247.58947,6.420238462390808,2.4188887808757107
Peak,67288.9545,67288.9545,5.485739255568153,1.750343755025366
Peak,67413.81616,67413.81616,8.963766229874956,3.1728167848846303
Peak,67643.30698,67643.30698,5.524692806524093,1.8956911453303782
Peak,67713.00419,67713.00419,5.065375895249753,0.5773049548707654
Peak,68442.70832,68442.70832,5.671544617446164,2.394817376585236
Peak,68557.70374,68557.70374,7.176385788583025,2.501756358215113
